18+94*79+78 = 7522    123123
7+19*82 = 1565    123
73*51*20*7 = 521220    123
96+78*69-17 = 5461    13
95*48+55 = 4615    3
5+36+54*87 = 4739    没有作答
30+88*78-89 = 6805    没有作答
4-0*59 = 4    没有作答
62*37-15 = 2279    没有作答
17*34+1*8 = 586    没有作答
40*98*98+96 = 384256    没有作答
28*31-31 = 837    没有作答
63+35*13 = 518    没有作答
59*47-64+33 = 2742    没有作答
12*47-57-59 = 448    没有作答
1-22+32*93 = 2955    没有作答
71*14*9 = 8946    没有作答
78+33*13 = 507    没有作答
9+45/5 = 18    没有作答
14/4*44 = 154    没有作答
42-29+71*5 = 368    没有作答
19+12+56 = 87    没有作答
63+39-83 = 19    没有作答
52+7*19 = 185    没有作答
83+19+7 = 109    没有作答
1-16+65 = 50    没有作答
71*18-53*12 = 642    没有作答
89+32-26+38 = 133    没有作答
27+45*72+25 = 3292    没有作答
44-6-16+20 = 42    没有作答
76-39/13-6 = 79    没有作答
71*83-29-86 = 5778    没有作答
81+38-60 = 59    没有作答
29*18+46 = 568    没有作答
42+87*2-2 = 214    没有作答
95*83+94 = 7979    没有作答
2*28*29 = 1624    没有作答
24*12+82 = 370    没有作答
6+1+65 = 72    没有作答
85+35+34+52 = 206    没有作答
